Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln(CHF),Preis Pack (CHF),Notiz für Gebinde für claude zum bearbeiten
69200,3 l bester Schweizer Wein,Einzeln,Wein,FALSE,Bag-in-Box / Grossgebinde,4.65,,
02128,Aigle blanc AOC 75 cl,Einzeln,Wein,FALSE,Weisswein,11.90,,
10868,Aigle Chablais blanc 50 cl,Einzeln,Wein,FALSE,Weisswein,8.55,,
36830,Amarone Salvaterra 50 cl,Einzeln,Wein,FALSE,Rotwein,13.50,,
88791,Amarone Salvaterra 75 cl,Einzeln,Wein,FALSE,Rotwein,16.95,,
52915,Amarone Valpolicella Zeni 75 cl,Einzeln,Wein,FALSE,Rotwein,22.95,,
45949,Amberbier Farmer Dose 18x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,13.50,
46423,Amberbier Farmer Dose 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,0.75,,
55123,Amore Uno 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,6.95,,
61581,Appassimento Coronati 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,5.95,,
35703,Ass. Cépages Duvallon 75cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,5.95,,
88236,Balance Che. blanc 75 cl,Einzeln,Wein,FALSE,Weisswein,4.20,,
88235,Balance Muscat 75 cl,Einzeln,Wein,FALSE,Weisswein,4.20,,
88945,Balance Shiraz Merlot 75 cl,Einzeln,Wein,FALSE,Rotwein,4.20,,
88355,Balance Shiraz Rosé 75 cl,Einzeln,Wein,FALSE,Rosé,4.20,,
88954,Bar Royal Litchi 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,4.50,,
71679,Barbera Piemonte 150+1 75cl,Einzeln,Wein,FALSE,Rotwein,6.95,,
53019,Barbian Roble 75 cl,Einzeln,Wein,FALSE,Sonstige / Roséwein,8.15,,
52950,Bier Amber Oberland Prem. 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.20,
63459,Bier Boxer old 18x25cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,16.50,
75827,Bier Boxer old 24x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,19.95,
32224,Bier Boxer old Dose 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.95,
10639,Bier Boxer old MW 33cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.65,,
87373,Bier Boxer old MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.80,,
32729,Bier Calanda Dose 24x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,30.95,
51891,Bier Calanda Glatsch 6x50cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,11.20,
18249,Bier Calanda Radler 10x33cl,Pack,Bier,FALSE,Radler / Panaché,,12.50,
87344,Bier Cardinal Blonde MW 33cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.40,,
87341,Bier Cardinal Blonde MW 50cl,Einzeln,Bier,FALSE,Lagerbier / Spezialbier,1.75,,
96173,Bier Chopfab Draft 10x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,11.95,
68192,Bier Desperados Tequilla 6x50cl,Pack,Bier,FALSE,Biermix (aromatisiert),,13.20,
63449,Bier Draft Oberland 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.20,
87447,Bier Farmer dunkel 6x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,6.55,
87309,Bier Farmer Erdb.-Rhab. 10x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.55,
87453,Bier Farmer Litchi 10x33cl,Pack,Bier,FALSE,Lagerbier / Spezialbier,,9.55,
