Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln (CHF),Preis Pack (CHF),Eigenmarke,Status,Packungsgrösse,Einheit
02166,Henniez blau 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.80,4.70,FALSE,Aktiv,6,flasche
87512,Henniez grün 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.80,4.70,FALSE,Aktiv,6,flasche
87507,Henniez rot 6 × 50 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.80,4.70,FALSE,Aktiv,6,flasche
87524,Mineralwasser Farmer blau 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,TRUE,Aktiv,6,flasche
09018,Mineralwasser Farmer blau 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,TRUE,Aktiv,6,flasche
87534,Mineralwasser Farmer grün 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,TRUE,Aktiv,6,flasche
09015,Mineralwasser Farmer grün 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,TRUE,Aktiv,6,flasche
87523,Mineralwasser Farmer rot 6×150cl,Einzeln & Pack,Mineralwasser,FALSE,,0.65,3.65,TRUE,Aktiv,6,flasche
12356,Mineralwasser Farmer rot 6×50cl,Einzeln & Pack,Mineralwasser,FALSE,,0.55,3.20,TRUE,Aktiv,6,flasche
35282,Quintus Quelle blau 6 × 150 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.35,1.95,FALSE,Aktiv,6,flasche
45516,Quintus Quelle rot 6 ×150 cl,Einzeln & Pack,Mineralwasser,FALSE,,0.35,1.95,FALSE,Aktiv,6,flasche
38358,Capri Sun Multivitamin 15 × 33 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.20,18.00,FALSE,Aktiv,15,flasche
34965,Capri Sun Orange-Peach 15×33cl,Einzeln & Pack,Süssgetränke,FALSE,,1.20,17.95,FALSE,Aktiv,15,flasche
95913,Citro Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.60,3.55,TRUE,Aktiv,6,flasche
95926,Citro Farmer zéro 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.55,3.18,TRUE,Aktiv,6,flasche
13152,Coca-Cola 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,2.10,16.45,FALSE,Aktiv,8,flasche
35378,Coca-Cola 8 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.45,11.45,FALSE,Aktiv,8,flasche
13153,Coca-Cola Zero 8 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,2.10,16.45,FALSE,Aktiv,8,flasche
35376,Coca-Cola Zero 8 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.45,11.45,FALSE,Aktiv,8,flasche
78009,Cola Farmer zéro 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.60,3.55,TRUE,Aktiv,6,flasche
41741,Cranberry Farmer 4 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.75,6.95,TRUE,Aktiv,4,flasche
96103,Direkt Orangensaft Farmer 6×100cl,Einzeln & Pack,Süssgetränke,FALSE,,2.45,14.70,TRUE,Aktiv,6,flasche
87544,Fruchtcocktail Granini 6 × 100 cl,Einzeln & Pack,Süssgetränke,TRUE,,2.25,13.30,FALSE,Aktiv,6,flasche
99712,Grapefruit Farmer zéro 6×150cl,Einzeln & Pack,Süssgetränke,FALSE,,0.60,3.55,TRUE,Aktiv,6,flasche
87810,Holunder-Melisse Farmer 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.15,6.90,TRUE,Aktiv,6,flasche
09022,Holunder-Melisse Farmer 6×50cl,Einzeln & Pack,Süssgetränke,FALSE,,0.95,5.55,TRUE,Aktiv,6,flasche
87708,Ice Tea Farmer Lemon 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.70,3.95,TRUE,Aktiv,6,flasche
09014,Ice Tea Farmer Lemon 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.50,2.95,TRUE,Aktiv,6,flasche
82220,Ice Tea Farmer Mint 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.85,4.95,TRUE,Aktiv,6,flasche
95909,Ice Tea Farmer Mint 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.60,3.50,TRUE,Aktiv,6,flasche
87709,Ice Tea Farmer Peach 6 × 150 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.70,3.95,TRUE,Aktiv,6,flasche
09017,Ice Tea Farmer Peach 6 × 50 cl,Einzeln & Pack,Süssgetränke,FALSE,,0.50,2.95,TRUE,Aktiv,6,flasche
68904,Lemon Soda 24 × 33 cl,Pack,Süssgetränke,TRUE,,,15.95,FALSE,Aktiv,24,flasche
51528,Multivitamin Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.60,9.55,TRUE,Aktiv,6,flasche
42617,Orangensaft Farmer 6 × 100 cl,Einzeln & Pack,Süssgetränke,FALSE,,1.30,7.80,TRUE,Aktiv,6,flasche
87543,Orangensaft Granini 6 × 100 cl,Einzeln & Pack,Süssgetränke,TRUE,,2.25,13.30,FALSE,Aktiv,6,flasche
41624,Rivella blau 24 × 50 cl,Pack,Süssgetränke,TRUE,,,27.50,FALSE,Aktiv,24,flasche
